CallHeuristic,GuardHeuristic,LoopBranchHeuristic,LoopExitHeuristic,LoopHeaderHeuristic,OpcodeHeuristic,PointerHeuristic,ReturnHeuristic,StoreHeuristic,name,"not taken",taken
1,1,1,1,1,0,1,1,1,basic_block27.i.i,0,0
1,1,0,0,1,1,1,1,0,basic_block9.i.i,1,500
0,1,1,1,1,0,1,1,1,basic_block18.i,0,0
1,1,1,1,1,1,1,1,1,basic_block72.i,3333,96667
1,1,1,1,1,1,1,1,1,basic_block153.i,5000,0
1,1,0,0,1,1,1,0,0,basic_block.i11.i.i,500,4000
1,1,0,0,1,1,1,0,1,basic_block.i,1,0
1,1,0,0,1,1,1,0,0,basic_block.i3.i.i,500,4000
1,1,0,0,1,1,1,0,0,basic_block.i19.i.i,500,4000
1,1,1,1,1,1,0,1,1,basic_block9.i2,1,0
0,1,0,0,1,1,1,1,0,basic_block18.i4,1,100000
0,1,1,1,1,1,1,1,1,basic_block36.i,0,0
0,1,1,1,1,0,1,1,0,basic_block27.i,0,0
1,1,1,1,1,1,1,1,1,basic_block63.i,3333,0
1,1,0,0,1,1,1,0,0,basic_block.i.i.i,500,4000
0,1,1,1,1,0,1,1,1,basic_block9.i,0,0
0,1,1,1,1,1,1,1,0,basic_block18.i.i,0,0
1,1,1,1,1,1,1,1,1,basic_block117.i,5000,95000
1,1,1,1,1,1,1,1,1,basic_block108.i,3333,0
1,1,1,1,1,1,1,1,1,basic_block27.i5,3333,96667
0,1,1,1,1,0,1,1,0,basic_block9.i4.i.i,0,0
0,1,0,0,1,1,1,0,0,basic_block162.i,1,500
0,1,1,1,1,1,1,1,0,basic_block9.i3.i,0,0
0,1,1,1,1,1,0,1,1,basic_block45.i,0,0